,Open,High,Low,Close,Volume
2015-08-03 14:05:53,1185350,1185400,1185200,1185260,4338
2015-08-03 14:05:54,1185201,1185275,1185201,1185275,1205
2015-08-03 14:05:55,1185225,1185225,1185100,1185200,4040
2015-08-03 14:05:56,1185200,1185300,1185100,1185300,2101
2015-08-03 14:05:57,1185205,1185300,1185200,1185300,2449
2015-08-03 14:05:58,1185138,1185153,1185100,1185150,2121
2015-08-03 14:05:59,1185100,1185200,1185100,1185151,852
2015-08-03 14:06:00,1185200,1185201,1185200,1185200,3563
2015-08-03 14:06:01,1185200,1185400,1185200,1185400,2725
2015-08-03 14:06:02,1185310,1185368,1185290,1185300,282
2015-08-03 14:06:03,1185390,1185400,1185370,1185400,5100
2015-08-03 14:06:04,1185400,1185499,1185300,1185390,1392
2015-08-03 14:06:05,1185301,1185301,1185100,1185175,9949
2015-08-03 14:06:06,1185240,1185240,1185100,1185100,251
2015-08-03 14:06:07,1185300,1185300,1185242,1185299,12
2015-08-03 14:06:08,1185300,1185300,1185299,1185299,130
2015-08-03 14:06:09,1185299,1185300,1185299,1185300,1484
2015-08-03 14:06:10,1185380,1185400,1185300,1185400,690
2015-08-03 14:06:11,1185300,1185375,1185200,1185200,650
2015-08-03 14:06:12,1185300,1185310,1185300,1185310,2700
2015-08-03 14:06:13,1185247,1185247,1185200,1185200,143
2015-08-03 14:06:14,1185300,1185300,1185227,1185299,3900
2015-08-03 14:06:15,1185200,1185300,1185100,1185200,3301
2015-08-03 14:06:16,1185250,1185299,1185000,1185100,2201
2015-08-03 14:06:17,1185199,1185200,1185000,1185100,2637
2015-08-03 14:06:18,1185025,1185025,1185000,1185000,1006
2015-08-03 14:06:19,1185050,1185050,1184900,1184900,19876
2015-08-03 14:06:20,1184800,1185000,1184800,1184800,9623
2015-08-03 14:06:21,1184799,1184800,1184710,1184750,1167
2015-08-03 14:06:22,1184800,1185100,1184800,1185100,5403
2015-08-03 14:06:23,1185100,1185100,1184900,1184901,5309
2015-08-03 14:06:24,1185000,1185000,1184900,1185000,630
2015-08-03 14:06:25,1184801,1184900,1184800,1184800,334
2015-08-03 14:06:26,1184875,1185100,1184800,1184899,15411
2015-08-03 14:06:27,1185099,1185099,1185000,1185000,1880
2015-08-03 14:06:28,1185099,1185099,1184900,1185000,1383
2015-08-03 14:06:29,1185100,1185100,1185000,1185000,3994
2015-08-03 14:06:30,1185000,1185100,1184975,1185100,2347
2015-08-03 14:06:31,1185062,1185099,1185000,1185000,3061
2015-08-03 14:06:32,1185000,1185100,1185000,1185100,906
2015-08-03 14:06:34,1185000,1185000,1184700,1185000,6213
2015-08-03 14:06:35,1184999,1185000,1184800,1184999,1014
2015-08-03 14:06:36,1184900,1184901,1184775,1184775,679
2015-08-03 14:06:37,1184800,1184846,1184700,1184700,1037
2015-08-03 14:06:38,1184790,1184890,1184700,1184700,2485
2015-08-03 14:06:39,1184876,1184900,1184870,1184873,1019
2015-08-03 14:06:40,1184800,1184900,1184800,1184900,1570
2015-08-03 14:06:41,1185000,1185200,1184870,1185175,4030
2015-08-03 14:06:42,1185172,1185300,1185172,1185300,1300
2015-08-03 14:06:43,1185290,1185290,1185275,1185275,15
2015-08-03 14:06:44,1185227,1185299,1185227,1185244,2474
2015-08-03 14:06:45,1185200,1185200,1185200,1185200,1125
2015-08-03 14:06:46,1185300,1185300,1185200,1185200,750
2015-08-03 14:06:47,1185300,1185300,1185200,1185200,145
2015-08-03 14:06:48,1185200,1185299,1185200,1185299,1210
2015-08-03 14:06:49,1185230,1185290,1185230,1185290,1500
2015-08-03 14:06:50,1185300,1185400,1185300,1185350,1121
2015-08-03 14:06:51,1185299,1185399,1185299,1185300,442
2015-08-03 14:06:52,1185300,1185300,1185300,1185300,100
2015-08-03 14:06:53,1185300,1185300,1185300,1185300,345
2015-08-03 14:06:54,1185300,1185400,1185300,1185300,1673
2015-08-03 14:06:55,1185390,1185390,1185390,1185390,200
2015-08-03 14:06:56,1185399,1185400,1185200,1185200,250
2015-08-03 14:06:57,1185200,1185300,1185200,1185299,155
2015-08-03 14:06:58,1185201,1185250,1185200,1185200,203
2015-08-03 14:06:59,1185300,1185300,1185200,1185200,1475
2015-08-03 14:07:01,1185110,1185199,1185101,1185101,54
2015-08-03 14:07:02,1185180,1185180,1185180,1185180,100
2015-08-03 14:07:03,1185110,1185200,1185110,1185200,2141
2015-08-03 14:07:04,1185200,1185200,1185100,1185199,1121
2015-08-03 14:07:05,1185138,1185190,1184700,1184800,8582
2015-08-03 14:07:06,1184899,1184900,1184700,1184800,1115
2015-08-03 14:07:07,1184790,1184799,1184747,1184747,385
2015-08-03 14:07:08,1184800,1185200,1184702,1185162,12887
2015-08-03 14:07:09,1185100,1185200,1185000,1185199,730
2015-08-03 14:07:10,1185200,1185300,1185000,1185300,3839
2015-08-03 14:07:11,1185200,1185338,1185200,1185200,2633
2015-08-03 14:07:12,1185201,1185201,1185000,1185000,1741
2015-08-03 14:07:13,1185100,1185100,1185086,1185086,604
2015-08-03 14:07:14,1185000,1185030,1184600,1184660,4551
2015-08-03 14:07:15,1184810,1184900,1184810,1184900,121
2015-08-03 14:07:16,1184825,1184825,1184825,1184825,17
2015-08-03 14:07:17,1184825,1184825,1184800,1184800,25
2015-08-03 14:07:18,1184880,1184899,1184800,1184850,1915
2015-08-03 14:07:19,1184800,1184800,1184625,1184625,1473
2015-08-03 14:07:20,1184600,1184700,1184600,1184600,1891
2015-08-03 14:07:21,1184780,1184800,1184725,1184800,410
2015-08-03 14:07:22,1184750,1184800,1184700,1184700,506
2015-08-03 14:07:23,1184762,1184800,1184600,1184700,4434
2015-08-03 14:07:24,1184700,1184700,1184700,1184700,269
2015-08-03 14:07:25,1184600,1184600,1184600,1184600,200
2015-08-03 14:07:26,1184698,1184698,1184500,1184500,2240
2015-08-03 14:07:27,1184599,1184599,1184500,1184500,1664
2015-08-03 14:07:28,1184500,1184500,1184438,1184450,1935
2015-08-03 14:07:29,1184500,1184500,1184400,1184500,3623
2015-08-03 14:07:30,1184500,1184600,1184400,1184500,6444
2015-08-03 14:07:31,1184500,1184500,1184401,1184401,2500
2015-08-03 14:07:32,1184460,1184500,1184400,1184500,2822
2015-08-03 14:07:33,1184600,1184690,1184600,1184600,1567
2015-08-03 14:07:34,1184700,1184700,1184300,1184300,12331
2015-08-03 14:07:35,1184300,1184460,1184300,1184460,1520
2015-08-03 14:07:36,1184400,1184450,1184400,1184450,223
2015-08-03 14:07:37,1184500,1184800,1184350,1184700,6329
2015-08-03 14:07:38,1184700,1184700,1184638,1184638,654
2015-08-03 14:07:39,1184700,1184700,1184300,1184500,602
2015-08-03 14:07:40,1184501,1184501,1184501,1184501,98
2015-08-03 14:07:41,1184700,1184780,1184600,1184780,821
2015-08-03 14:07:42,1184800,1184800,1184600,1184702,1902
2015-08-03 14:07:43,1184680,1184800,1184680,1184700,766
2015-08-03 14:07:44,1184700,1184800,1184600,1184600,3628
2015-08-03 14:07:45,1184780,1184800,1184700,1184800,503
2015-08-03 14:07:46,1184799,1184800,1184700,1184700,35
2015-08-03 14:07:47,1184800,1184800,1184790,1184800,675
2015-08-03 14:07:49,1184900,1184900,1184770,1184806,1861
2015-08-03 14:07:50,1184800,1184800,1184700,1184799,3730
2015-08-03 14:07:51,1184700,1184700,1184672,1184699,1345
2015-08-03 14:07:52,1184700,1184750,1184600,1184700,6086
2015-08-03 14:07:53,1184800,1184800,1184610,1184675,294
2015-08-03 14:07:54,1184700,1184700,1184610,1184650,700
2015-08-03 14:07:55,1184640,1184780,1184640,1184780,1510
2015-08-03 14:07:56,1184700,1184799,1184700,1184790,3438
2015-08-03 14:07:57,1184790,1184800,1184700,1184800,2237
2015-08-03 14:07:58,1184700,1184836,1184700,1184701,1010
2015-08-03 14:07:59,1184899,1184899,1184875,1184875,29
2015-08-03 14:08:00,1184700,1184800,1184538,1184595,6300
2015-08-03 14:08:01,1184700,1184700,1184400,1184575,12135
